# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py — all timestamps are UTC
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS|IMEI|DIRECTION
20260903-000125|MED-20260903-001|MSC-NORTH-01|VOICE|001060849015137|999242067613|990487239781|49782-046|NULL|2026-09-03 03:07:27|2026-09-03|369|||1.5070|XTS|INTL|RATED|009160997903410|MOC
20260903-000126|MED-20260903-001|MSC-NORTH-01|SMS|001190863053113|994961096642|998628901134|28385-124|NULL|2026-09-03 01:56:11|2026-09-03|0|||0.0369|XTS|HOME|RATED|001171497548560|MOC
20260903-000127|MED-20260903-001|MSC-NORTH-01|VOICE|001190048928293|993451754886|993690604339|23877-206|NULL|2026-09-03 02:18:32|2026-09-03|3582|||6.8290|XTS|HOME|RATED|004094455324500|MOC
20260903-000128|MED-20260903-001|MSC-NORTH-01|VOICE|001190350824406|991643713661|992157628747|17032-062|NULL|2026-09-03 15:19:35|2026-09-03|858|||0.5730|XTS|HOME|RATED|002022618847460|MOC
20260903-000129|MED-20260903-001|MSC-NORTH-01|VOICE|001030589007232|992157628747|993047726996|35110-054|NULL|2026-09-03 01:08:23|2026-09-03|1572|||7.1313|XTS|HOME|RATED|006721207910690|MTC
20260903-000130|MED-20260903-001|MSC-NORTH-02|VOICE|001190169112955|995923189224|991765712921|33398-010|NULL|2026-09-03 05:39:06|2026-09-03|2900|||3.2175|XTS|INTL|RATED|001972117556340|MOC
20260903-000131|MED-20260903-001|MSC-NORTH-02|VOICE|001190255630605|995206642800|993305991642|01967-082|NULL|2026-09-03 21:49:12|2026-09-03|1511|||3.9938|XTS|INTL|RATED|004975706765320|MTC
20260903-000132|MED-20260903-001|MSC-NORTH-01|VOICE|001060314573128|996363130700|994981415729|09158-067|NULL|2026-09-03 23:40:34|2026-09-03|1309|||5.4207|XTS|NATIONAL|RATED|008363405744110|MTC
20260903-000133|MED-20260903-001|MSC-NORTH-02|SMS|001030827224374|990788370405|990833785549|54263-165|NULL|2026-09-03 16:48:16|2026-09-03|0|||0.0677|XTS|HOME|RATED|009205800107230|MOC
20260903-000134|MED-20260903-001|MSC-NORTH-02|VOICE|001060430101339|997251492373|994901947488|23068-227|NULL|2026-09-03 13:30:11|2026-09-03|288|||0.5339|XTS|HOME|RATED|005103783082180|MOC
20260903-000135|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190048928293|993451754886|N/A|06984-247|mms.test|2026-09-03 13:14:21|2026-09-03|4400|3170599|6270626|0.1759|XTS|HOME|RATED|004094455324500|NA
20260903-000136|MED-20260903-001|MSC-NORTH-01|VOICE|001190529206980|999346833248|991643713661|10536-137|NULL|2026-09-03 08:49:19|2026-09-03|1574|||5.9092|XTS|HOME|RATED|004708171664940|MTC
20260903-000137|MED-20260903-001|MSC-NORTH-02|VOICE|001190546812816|998857840092|996016197557|38506-154|NULL|2026-09-03 18:04:42|2026-09-03|2513|||1.5702|XTS|HOME|RATED|000037707783370|MTC
20260903-000138|MED-20260903-001|MSC-NORTH-01|SMS|001190069404531|994245774834|998833460958|59409-067|NULL|2026-09-03 13:15:39|2026-09-03|0|||0.0113|XTS|HOME|RATED|007980344633590|MOC
20260903-000139|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030857468539|998999107484|N/A|10894-025|mms.test|2026-09-03 05:29:00|2026-09-03|1028|4820602|9989576|0.0366|XTS|HOME|RATED|000465481305160|NA
20260903-000140|MED-20260903-001|MSC-NORTH-01|SMS|001190169112955|995923189224|994752517356|39357-201|NULL|2026-09-03 14:44:29|2026-09-03|0|||0.0647|XTS|INTL|RATED|001972117556340|MTC
20260903-000141|MED-20260903-001|MSC-NORTH-02|SMS|001190143710483|992105160972|992104910705|31299-062|NULL|2026-09-03 00:31:20|2026-09-03|0|||0.0240|XTS|INTL|SUSPENSE|000236329962700|MOC
20260903-000142|MED-20260903-001|MSC-NORTH-01|VOICE|001190456342710|995590372103|993779998622|26805-135|NULL|2026-09-03 00:10:41|2026-09-03|2706|||6.1374|XTS|INTL|RATED|002313714647440|MOC
20260903-000143|MED-20260903-001|MSC-NORTH-01|VOICE|001030249982813|992677394099|999346833248|51556-196|NULL|2026-09-03 23:56:24|2026-09-03|2735|||3.6776|XTS|HOME|RATED|004409927906570|MOC
20260903-000144|MED-20260903-001|MSC-NORTH-02|VOICE|001030105404127|995803619952|990538775866|25933-161|NULL|2026-09-03 15:04:17|2026-09-03|2345|||7.9019|XTS|INTL|RATED|004320451267060|MTC
20260903-000145|MED-20260903-001|MSC-NORTH-02|SMS|001030866991213|998785648831|993587389777|24671-091|NULL|2026-09-03 12:16:26|2026-09-03|0|||0.0287|XTS|INTL|RATED|004952093002300|MTC
20260903-000146|MED-20260903-001|MSC-NORTH-02|SMS|001190433376443|992080399991|997792192843|53916-022|NULL|2026-09-03 06:31:36|2026-09-03|0|||0.0129|XTS|NATIONAL|RATED|006984765840560|MTC
20260903-000147|MED-20260903-001|MSC-NORTH-02|SMS|001060314573128|996363130700|997997637502|58165-037|NULL|2026-09-03 02:47:02|2026-09-03|0|||0.0315|XTS|HOME|RATED|008363405744110|MTC
20260903-000148|MED-20260903-001|MSC-NORTH-01|VOICE|001060870771827|996249693969|997512039708|17618-018|NULL|2026-09-03 01:14:55|2026-09-03|1079|||3.2937|XTS|NATIONAL|RATED|007839388031690|MTC
20260903-000149|MED-20260903-001|MSC-NORTH-01|VOICE|001030565338793|995970764623|996249693969|08835-057|NULL|2026-09-03 03:07:13|2026-09-03|1106|||4.5270|XTS|HOME|RATED|002994591135190|MTC
20260903-000150|MED-20260903-001|MSC-NORTH-01|SMS|001030249982813|992677394099|994961096642|22184-040|NULL|2026-09-03 08:42:37|2026-09-03|0|||0.0776|XTS|HOME|RATED|004409927906570|MTC
20260903-000151|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060445008592|990487239781|N/A|50293-227|mms.test|2026-09-03 20:38:50|2026-09-03|5299|2868859|72272429|1.2543|XTS|HOME|RATED|005478829861160|NA
20260903-000152|MED-20260903-001|MME-SOUTH-03|DATA|001060971195721|999309017786|N/A|24264-002|mms.test|2026-09-03 11:57:02|2026-09-03|6054|2643735|16340227|0.3258|XTS|HOME|RATED|004835046995440|NA
20260903-000153|MED-20260903-001|MSC-NORTH-01|VOICE|001030462989512|999119172479|992949062724|30945-081|NULL|2026-09-03 03:29:30|2026-09-03|3549|||9.7617|XTS|HOME|RATED|008378658779680|MOC
20260903-000154|MED-20260903-001|MSC-NORTH-02|SMS|001190513792908|997051071977|994961096642|12868-228|NULL|2026-09-03 07:45:33|2026-09-03|0|||0.0194|XTS|HOME|RATED|001067628854440|MOC
20260903-000155|MED-20260903-001|MME-SOUTH-03|DATA|001030774697488|998739484079|N/A|19835-117|internet.test|2026-09-03 04:25:34|2026-09-03|1110|2855514|32951285|0.5432|XTS|NATIONAL|RATED|000100412711400|NA
20260903-000156|MED-20260903-001|MSC-NORTH-01|VOICE|001030768246898|994470438935|995590372103|11360-165|NULL|2026-09-03 10:19:41|2026-09-03|581|||2.2901|XTS|HOME|RATED|009628727659560|MTC
20260903-000157|MED-20260903-001|MSC-NORTH-02|VOICE|001060916258665|996663876371|995440296440|58125-044|NULL|2026-09-03 02:25:57|2026-09-03|53|||0.1989|XTS|HOME|RATED|009751722009720|MTC
20260903-000158|MED-20260903-001|MSC-NORTH-01|VOICE|001190455478418|992120775644|990538775866|60145-074|NULL|2026-09-03 13:08:51|2026-09-03|1708|||8.4155|XTS|HOME|RATED|001915626531910|MTC
20260903-000159|MED-20260903-001|MSC-NORTH-01|VOICE|001190202181710|991765712921|993458429484|17270-146|NULL|2026-09-03 11:48:07|2026-09-03|2075|||5.2050|XTS|INTL|RATED|000406851935850|MTC
20260903-000160|MED-20260903-001|MSC-NORTH-01|VOICE|001060214937950|991799787646|993976433400|24984-090|NULL|2026-09-03 21:08:04|2026-09-03|3134|||16.2670|XTS|INTL|RATED|005010525354870|MTC
20260903-000161|MED-20260903-001|MME-SOUTH-03|DATA|001030857468539|998999107484|N/A|08064-049|internet.test|2026-09-03 03:11:11|2026-09-03|1473|717301|70868092|0.6268|XTS|NATIONAL|RATED|000465481305160|NA
20260903-000162|MED-20260903-001|MME-SOUTH-03|DATA|001060059855845|994919985164|N/A|00446-017|mms.test|2026-09-03 08:57:53|2026-09-03|3273|2173400|6599996|0.0968|XTS|HOME|RATED|005365648479430|NA
20260903-000163|MED-20260903-001|MSC-NORTH-02|VOICE|001030827224374|990788370405|994470438935|55579-039|NULL|2026-09-03 23:31:05|2026-09-03|2909|||11.2555|XTS|HOME|RATED|009205800107230|MTC
20260903-000164|MED-20260903-001|MSC-NORTH-02|VOICE|001060430101339|997251492373|996840840162|61788-122|NULL|2026-09-03 11:47:14|2026-09-03|3414|||14.5574|XTS|HOME|RATED|005103783082180|MOC
20260903-000165|MED-20260903-001|MME-SOUTH-03|DATA|001030584926859|992194170638|N/A|32147-102|mms.test|2026-09-03 13:18:51|2026-09-03|6062|1528331|61288234|1.0565|XTS|INTL|RATED|006207688158530|NA
20260903-000166|MED-20260903-001|MSC-NORTH-01|SMS|001190674689167|992037905500|992900941360|23170-165|NULL|2026-09-03 01:03:13|2026-09-03|0|||0.0196|XTS|NATIONAL|RATED|006898120800340|MTC
20260903-000167|MED-20260903-001|MME-SOUTH-03|DATA|001060583876508|994700780002|N/A|24875-041|ims.test|2026-09-03 12:58:40|2026-09-03|5705|1182667|51394315|0.1576|XTS|NATIONAL|RATED|002406125182380|NA
20260903-000168|MED-20260903-001|MSC-NORTH-01|VOICE|001060939331065|992403079099|995919544249|04019-237|NULL|2026-09-03 21:24:33|2026-09-03|627|||0.6673|XTS|INTL|RATED|002961592069470|MTC
20260903-000169|MED-20260903-001|MSC-NORTH-02|SMS|001030105404127|995803619952|998937849189|43494-155|NULL|2026-09-03 02:42:46|2026-09-03|0|||0.0580|XTS|INTL|SUSPENSE|004320451267060|MOC
20260903-000170|MED-20260903-001|MSC-NORTH-02|VOICE|001190048928293|993451754886|995570019260|03521-243|NULL|2026-09-03 23:25:41|2026-09-03|3062|||16.0023|XTS|INTL|RATED|004094455324500|MTC
20260903-000171|MED-20260903-001|MSC-NORTH-02|VOICE|001060651578134|992104910705|992037905500|29308-101|NULL|2026-09-03 01:41:17|2026-09-03|1361|||1.3305|XTS|NATIONAL|RATED|009595917220470|MTC
20260903-000172|MED-20260903-001|MME-SOUTH-03|DATA|001190191290479|998631373554|N/A|32731-055|ims.test|2026-09-03 01:59:06|2026-09-03|5902|274448|34780077|0.0594|XTS|HOME|RATED|003211543294570|NA
20260903-000173|MED-20260903-001|MSC-NORTH-02|VOICE|001030912557166|990739454802|998628901134|59918-012|NULL|2026-09-03 01:50:49|2026-09-03|3297|||15.7992|XTS|INTL|RATED|006512966271390|MTC
20260903-000174|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030043728830|994901947488|N/A|45268-081|internet.test|2026-09-03 02:40:20|2026-09-03|6142|1180458|48662730|0.7346|XTS|INTL|RATED|002439802156580|NA
20260903-000175|MED-20260903-001|MSC-NORTH-02|VOICE|001060651578134|992104910705|991765712921|48908-182|NULL|2026-09-03 17:59:36|2026-09-03|3372|||17.3608|XTS|HOME|RATED|009595917220470|MTC
20260903-000176|MED-20260903-001|MME-SOUTH-03|DATA|001190472993076|999923813805|N/A|20357-067|mms.test|2026-09-03 02:03:36|2026-09-03|2891|3439286|77086182|1.1578|XTS|HOME|RATED|004072451944760|NA
20260903-000177|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190839384905|991288530100|N/A|05417-064|ims.test|2026-09-03 17:39:24|2026-09-03|4736|4186223|54961597|0.9688|XTS|HOME|RATED|007586067040690|NA
20260903-000178|MED-20260903-001|MSC-NORTH-02|SMS|001030894664635|996323876306|997792192843|42560-228|NULL|2026-09-03 18:31:46|2026-09-03|0|||0.0664|XTS|HOME|RATED|000714399195150|MTC
20260903-000179|MED-20260903-001|MSC-NORTH-01|VOICE|001060828754868|993690604339|991288530100|14616-060|NULL|2026-09-03 16:04:55|2026-09-03|1952|||2.9619|XTS|HOME|RATED|008739622842910|MOC
20260903-000180|MED-20260903-001|MSC-NORTH-02|VOICE|001030545144392|999811475516|990788370405|12786-251|NULL|2026-09-03 17:50:07|2026-09-03|415||||XTS|HOME|UNRATED|009899859972080|MOC
20260903-000181|MED-20260903-001|MSC-NORTH-02|VOICE|001030498018705|999352170551|992037905500|39159-158|NULL|2026-09-03 22:36:32|2026-09-03|1637|||6.9891|XTS|INTL|RATED|006913256705680|MOC
20260903-000182|MED-20260903-001|MME-SOUTH-03|DATA|001060430101339|997251492373|N/A|12073-190|mms.test|2026-09-03 12:44:45|2026-09-03|3572|390111|4592569|0.0089|XTS|NATIONAL|RATED|005103783082180|NA
20260903-000183|MED-20260903-001|MSC-NORTH-02|VOICE|001060351179813|994597418727|994536808028|60775-199|NULL|2026-09-03 12:29:41|2026-09-03|2683|||4.2474|XTS|HOME|RATED|009485043007300|MTC
20260903-000184|MED-20260903-001|MSC-NORTH-01|VOICE|001060351179813|994597418727|991643713661|43632-233|NULL|2026-09-03 13:02:27|2026-09-03|2183||||XTS|INTL|UNRATED|009485043007300|MTC
20260903-000185|MED-20260903-001|MSC-NORTH-02|SMS|001190074570258|992427701693|993690604339|41576-020|NULL|2026-09-03 21:59:45|2026-09-03|0|||0.0800|XTS|NATIONAL|RATED|009104329982620|MOC
20260903-000186|MED-20260903-001|MSC-NORTH-02|SMS|001190173322090|994476561441|991288530100|44667-046|NULL|2026-09-03 07:05:26|2026-09-03|0|||0.0374|XTS|NATIONAL|RATED|000224162872560|MTC
20260903-000187|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030489421191|991416082235|N/A|25911-108|ims.test|2026-09-03 08:11:21|2026-09-03|871|388378|73099211|1.2705|XTS|HOME|RATED|002614002900050|NA
20260903-000188|MED-20260903-001|MSC-NORTH-01|VOICE|001030043728830|994901947488|999119172479|02466-176|NULL|2026-09-03 12:19:02|2026-09-03|662|||0.6571|XTS|HOME|RATED|002439802156580|MTC
20260903-000189|MED-20260903-001|MSC-NORTH-02|SMS|001060412817548|992173139757|991799787646|57603-134|NULL|2026-09-03 08:03:35|2026-09-03|0|||0.0357|XTS|HOME|RATED|009853648237910|MOC
20260903-000190|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030122800240|992105972037|N/A|10385-040|internet.test|2026-09-03 22:31:36|2026-09-03|3803|3037196|4477105|0.0123|XTS|INTL|RATED|007760956881450|NA
20260903-000191|MED-20260903-001|MSC-NORTH-01|VOICE|001190182975014|993047726996|996043263268|38628-174|NULL|2026-09-03 02:57:58|2026-09-03|3025|||14.8741|XTS|HOME|RATED|007050391447810|MTC
20260903-000192|MED-20260903-001|MME-SOUTH-03|DATA|001190897294318|995440296440|N/A|48932-074|ims.test|2026-09-03 14:17:56|2026-09-03|690|4960069|29581631|0.2564|XTS|HOME|RATED|006178131250780|NA
20260903-000193|MED-20260903-001|MSC-NORTH-02|VOICE|001060964902230|999216047934|997997637502|23528-103|NULL|2026-09-03 12:45:39|2026-09-03|7|||0.0272|XTS|NATIONAL|RATED|007118800705950|MOC
20260903-000194|MED-20260903-001|MSC-NORTH-02|SMS|001030498018705|999352170551|993458429484|08244-072|NULL|2026-09-03 01:47:50|2026-09-03|0|||0.0234|XTS|HOME|RATED|006913256705680|MTC
20260903-000195|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190139214640|993591368197|N/A|41156-075|mms.test|2026-09-03 16:58:07|2026-09-03|4866|337789|68494171|0.2572|XTS|HOME|RATED|001523050353130|NA
20260903-000196|MED-20260903-001|MSC-NORTH-02|VOICE|001030408836440|995570019260|992194170638|23802-024|NULL|2026-09-03 03:35:09|2026-09-03|512|||0.6561|XTS|HOME|RATED|007554336296780|MOC
20260903-000197|MED-20260903-001|MSC-NORTH-02|VOICE|001190255630605|995206642800|998628901134|02831-237|NULL|2026-09-03 05:55:27|2026-09-03|2152|||5.3930|XTS|INTL|RATED|004975706765320|MTC
20260903-000198|MED-20260903-001|MSC-NORTH-02|VOICE|001030971563154|999616164682|999119172479|38814-117|NULL|2026-09-03 10:23:58|2026-09-03|186|||0.0647|XTS|HOME|RATED|005601765605930|MOC
20260903-000199|MED-20260903-001|MSC-NORTH-02|VOICE|001060877076625|998464181049|991611975488|32495-117|NULL|2026-09-03 05:22:49|2026-09-03|981|||1.8492|XTS|HOME|RATED|005623917509070|MTC
20260903-000200|MED-20260903-001|MME-SOUTH-03|DATA|001190069404531|994245774834|N/A|47806-029|internet.test|2026-09-03 07:23:04|2026-09-03|1463|4703430|2767351|0.1347|XTS|INTL|RATED|007980344633590|NA
20260903-000201|MED-20260903-001|MSC-NORTH-02|SMS|001190947871096|997701297274|997512039708|18303-225|NULL|2026-09-03 20:48:03|2026-09-03|0|||0.0260|XTS|HOME|RATED|006651978763700|MTC
20260903-000202|MED-20260903-001|MME-SOUTH-03|DATA|001030408836440|995570019260|N/A|30973-060|ims.test|2026-09-03 23:36:37|2026-09-03|3356|2476218|69142141|0.4572|XTS|HOME|RATED|007554336296780|NA
20260903-000203|MED-20260903-001|MSC-NORTH-02|SMS|001190774607106|992900941360|998631373554|02541-222|NULL|2026-09-03 17:15:48|2026-09-03|0|||0.0554|XTS|HOME|SUSPENSE|005985511759390|MOC
20260903-000204|MED-20260903-001|MSC-NORTH-02|VOICE|001030584926859|992194170638|996284163100|58599-061|NULL|2026-09-03 18:45:23|2026-09-03|1919|||5.9597|XTS|HOME|SUSPENSE|006207688158530|MOC
20260903-000205|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030589007232|992157628747|N/A|23136-171|mms.test|2026-09-03 20:20:22|2026-09-03|4372|462007|8464825|0.0366|XTS|HOME|RATED|006721207910690|NA
20260903-000206|MED-20260903-001|MSC-NORTH-02|VOICE|001060074586702|996840840162|992427701693|39052-193|NULL|2026-09-03 04:20:32|2026-09-03|1624|||7.5009|XTS|HOME|RATED|002871642654040|MTC
20260903-000207|MED-20260903-001|MSC-NORTH-01|SMS|001060877076625|998464181049|992120775644|57745-170|NULL|2026-09-03 18:13:40|2026-09-03|0|||0.0595|XTS|HOME|RATED|005623917509070|MTC
20260903-000208|MED-20260903-001|MSC-NORTH-02|SMS|001060849015137|999242067613|994597418727|49002-184|NULL|2026-09-03 04:07:52|2026-09-03|0|||0.0192|XTS|HOME|RATED|009160997903410|MOC
20260903-000209|MED-20260903-001|MSC-NORTH-02|VOICE|001190863053113|994961096642|995970764623|12939-246|NULL|2026-09-03 20:50:28|2026-09-03|42||||XTS|HOME|UNRATED|001171497548560|MOC
20260903-000210|MED-20260903-001|MSC-NORTH-02|VOICE|001030489421191|991416082235|998857840092|53826-145|NULL|2026-09-03 22:52:55|2026-09-03|1676|||7.3455|XTS|HOME|RATED|002614002900050|MOC
20260903-000211|MED-20260903-001|MME-SOUTH-03|DATA|001190333710545|997997333824|N/A|27391-100|ims.test|2026-09-03 15:20:27|2026-09-03|4008|2659568|29744317|0.1760|XTS|INTL|RATED|009696440956200|NA
20260903-000212|MED-20260903-001|MSC-NORTH-02|VOICE|001030037262008|995418638085|995970764623|21497-054|NULL|2026-09-03 22:34:37|2026-09-03|1454|||1.6883|XTS|INTL|RATED|009560680673040|MOC
20260903-000213|MED-20260903-001|MSC-NORTH-01|VOICE|001030584926859|992194170638|992441843169|11587-095|NULL|2026-09-03 02:54:18|2026-09-03|1232|||7.1620|XTS|NATIONAL|RATED|006207688158530|MTC
20260903-000214|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060883644329|993587389777|N/A|35138-199|internet.test|2026-09-03 03:35:46|2026-09-03|5576|1637359|46953131|0.1912|XTS|HOME|RATED|003114395414600|NA
20260903-000215|MED-20260903-001|MSC-NORTH-01|VOICE|001190074570258|992427701693|991661432375|07269-119|NULL|2026-09-03 19:46:13|2026-09-03|282|||0.1665|XTS|NATIONAL|RATED|009104329982620|MTC
20260903-000216|MED-20260903-001|MSC-NORTH-02|VOICE|001190472993076|999923813805|992403079099|32482-029|NULL|2026-09-03 12:06:53|2026-09-03|3160|||10.5977|XTS|HOME|RATED|004072451944760|MOC
20260903-000217|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030730012612|993976433400|N/A|20796-106|ims.test|2026-09-03 03:38:03|2026-09-03|470|1238645|75085985|1.1847|XTS|NATIONAL|RATED|004684387205960|NA
20260903-000218|MED-20260903-001|MSC-NORTH-01|VOICE|001190465842456|994536808028|991661432375|20605-082|NULL|2026-09-03 06:16:58|2026-09-03|146|||0.4498|XTS|HOME|RATED|001971979542370|MTC
20260903-000219|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190433376443|992080399991|N/A|24955-054|mms.test|2026-09-03 15:37:17|2026-09-03|5542|2235514|75412155||XTS|HOME|UNRATED|006984765840560|NA
20260903-000220|MED-20260903-001|MSC-NORTH-02|VOICE|001190182975014|993047726996|994981415729|36519-230|NULL|2026-09-03 23:57:54|2026-09-03|175|||0.1155|XTS|HOME|RATED|007050391447810|MTC
20260903-000221|MED-20260903-001|MME-SOUTH-03|DATA|001030827224374|990788370405|N/A|37850-027|internet.test|2026-09-03 20:14:00|2026-09-03|4365|4057866|68221373|1.1879|XTS|HOME|RATED|009205800107230|NA
20260903-000222|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030261839958|996710829364|N/A|50327-065|internet.test|2026-09-03 02:28:18|2026-09-03|707|2461|47190691|0.1951|XTS|INTL|RATED|008450669690820|NA
20260903-000223|MED-20260903-001|MSC-NORTH-02|VOICE|001190465842456|994536808028|999119172479|36962-087|NULL|2026-09-03 11:16:07|2026-09-03|2244|||7.1611|XTS|NATIONAL|RATED|001971979542370|MTC
20260903-000224|MED-20260903-001|MME-SOUTH-03|DATA|001030827224374|990788370405|N/A|52380-119|mms.test|2026-09-03 06:38:47|2026-09-03|750|1971868|57330004|0.1451|XTS|HOME|RATED|009205800107230|NA
20260903-000225|MED-20260903-001|MSC-NORTH-01|SMS|001030768246898|994470438935|992080399991|01701-137|NULL|2026-09-03 23:50:30|2026-09-03|0|||0.0662|XTS|HOME|RATED|009628727659560|MOC
20260903-000226|MED-20260903-001|MSC-NORTH-02|SMS|001060072721772|999448545187|999216047934|62880-109|NULL|2026-09-03 20:41:14|2026-09-03|0|||0.0516|XTS|NATIONAL|RATED|000170641856570|MTC
20260903-000227|MED-20260903-001|MSC-NORTH-02|SMS|001190839384905|991288530100|997251492373|17201-150|NULL|2026-09-03 11:38:49|2026-09-03|0|||0.0119|XTS|NATIONAL|RATED|007586067040690|MTC
20260903-000228|MED-20260903-001|MSC-NORTH-02|VOICE|001060916258665|996663876371|999801779626|23135-145|NULL|2026-09-03 02:09:00|2026-09-03|2689|||8.4765|XTS|INTL|RATED|009751722009720|MOC
20260903-000229|MED-20260903-001|MSC-NORTH-01|VOICE|001060869806914|997792192843|993305991642|38123-049|NULL|2026-09-03 03:11:03|2026-09-03|949|||4.7342|XTS|HOME|RATED|007763384210110|MTC
20260903-000230|MED-20260903-001|MSC-NORTH-01|VOICE|001030462989512|999119172479|999091298005|16976-103|NULL|2026-09-03 11:00:59|2026-09-03|1873|||10.6411|XTS|HOME|RATED|008378658779680|MTC
20260903-000231|MED-20260903-001|MSC-NORTH-02|SMS|001190356886398|996758769470|996249693969|62414-110|NULL|2026-09-03 09:47:53|2026-09-03|0|||0.0611|XTS|NATIONAL|RATED|006424308459650|MOC
20260903-000232|MED-20260903-001|MSC-NORTH-02|VOICE|001030584926859|992194170638|999352170551|27547-178|NULL|2026-09-03 01:34:08|2026-09-03|1990|||9.6000|XTS|NATIONAL|RATED|006207688158530|MOC
20260903-000233|MED-20260903-001|MSC-NORTH-02|VOICE|001190546812816|998857840092|991661432375|22061-109|NULL|2026-09-03 17:45:35|2026-09-03|452|||1.1432|XTS|HOME|RATED|000037707783370|MOC
20260903-000234|MED-20260903-001|MSC-NORTH-01|VOICE|001030498018705|999352170551|993305991642|32094-071|NULL|2026-09-03 06:50:33|2026-09-03|1108|||2.3228|XTS|HOME|RATED|006913256705680|MTC
20260903-000235|MED-20260903-001|MME-SOUTH-03|DATA|001190932964683|998833460958|N/A|21571-068|internet.test|2026-09-03 23:52:23|2026-09-03|6702|945702|48852130|0.6455|XTS|NATIONAL|RATED|007819902760600|NA
20260903-000236|MED-20260903-001|MSC-NORTH-01|VOICE|001060547317072|993812966525|998739484079|59057-186|NULL|2026-09-03 15:12:22|2026-09-03|198|||0.4406|XTS|HOME|RATED|005263410475220|MOC
20260903-000237|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190465842456|994536808028|N/A|11417-249|mms.test|2026-09-03 06:33:57|2026-09-03|3614|4972359|14760079|0.2043|XTS|HOME|RATED|001971979542370|NA
20260903-000238|MED-20260903-001|MSC-NORTH-02|VOICE|001190456342710|995590372103|990739454802|33755-226|NULL|2026-09-03 22:20:46|2026-09-03|2060|||0.9541|XTS|NATIONAL|RATED|002313714647440|MTC
20260903-000239|MED-20260903-001|MSC-NORTH-02|VOICE|001190333710545|997997333824|992173139757|47387-097|NULL|2026-09-03 13:31:08|2026-09-03|2857||||XTS|HOME|UNRATED|009696440956200|MOC
20260903-000240|MED-20260903-001|MSC-NORTH-01|VOICE|001030828238830|991611975488|994752517356|55615-105|NULL|2026-09-03 05:19:55|2026-09-03|588|||2.2883|XTS|HOME|RATED|000678257334830|MTC
20260903-000241|MED-20260903-001|MSC-NORTH-02|VOICE|001060147327703|992949062724|991661432375|52447-188|NULL|2026-09-03 21:39:58|2026-09-03|2580|||8.5392|XTS|HOME|RATED|007804492603500|MOC
20260903-000242|MED-20260903-001|MSC-NORTH-02|VOICE|001030894664635|996323876306|999091298005|05272-111|NULL|2026-09-03 11:41:43|2026-09-03|737|||3.9040|XTS|HOME|RATED|000714399195150|MOC
20260903-000243|MED-20260903-001|MME-SOUTH-03|DATA|001060992648953|992441843169|N/A|11754-111|mms.test|2026-09-03 13:58:53|2026-09-03|5672|4154499|626980|0.0388|XTS|HOME|RATED|005639698621430|NA
20260903-000244|MED-20260903-001|MSC-NORTH-02|VOICE|001060870771827|996249693969|992080399991|33775-037|NULL|2026-09-03 16:16:08|2026-09-03|2087|||1.8890|XTS|HOME|RATED|007839388031690|MOC
20260903-000245|MED-20260903-001|MME-SOUTH-03|DATA|001190578942420|999724021922|N/A|21726-052|ims.test|2026-09-03 11:51:54|2026-09-03|4744|2517607|41048969|0.3834|XTS|NATIONAL|RATED|000782308681470|NA
20260903-000246|MED-20260903-001|MSC-NORTH-02|VOICE|001060351179813|994597418727|995923189224|45761-089|NULL|2026-09-03 06:52:43|2026-09-03|3195|||2.5659|XTS|NATIONAL|RATED|009485043007300|MOC
20260903-000247|MED-20260903-001|MSC-NORTH-01|VOICE|001060072721772|999448545187|990788370405|14782-014|NULL|2026-09-03 20:26:24|2026-09-03|2891|||4.6790|XTS|HOME|RATED|000170641856570|MTC
20260903-000248|MED-20260903-001|MME-SOUTH-03|DATA|001030971563154|999616164682|N/A|14262-033|mms.test|2026-09-03 04:13:31|2026-09-03|6891|1895112|41260594|0.1640|XTS|HOME|RATED|005601765605930|NA
20260903-000249|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060351179813|994597418727|N/A|55233-121|internet.test|2026-09-03 14:24:43|2026-09-03|420|3850915|56094420|1.0342|XTS|HOME|RATED|009485043007300|NA
